Year,McKinsey Prime,McKinsey Subcontracts,BCG Prime,BCG Subcontracts
2008,24915831,,,
2009,43523507,,4490615,
2010,69426690,,1846558,
2011,49472844,,4875113,
2012,40095672,,1210768,
2013,25524944,8548415,3511834,
2014,61486301,1847630,1866798,
2015,40531263,31373326,7457755,
2016,49066210,23618084,69913597,
2017,98225431,19099978,35692347,7378134
2018,172418456,21421108,158867853,249458
2019,35071495,21542819,168073307,74985
2020,118656190,9885869,295379991,
2021,85493843,4986958,145233666,25259602
2022,41478939,14633087,403936395,23292531
2023,61799657,42117563,290423387,157163533
2024,23016293,29169625,128284548,156058133
2025,3878833.45,,,
